geoid,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,year,units,prior_cost,cost,icost,prior_reduction,reduction,ireduction,z,diversification,emissions,status,base_emissions,base_vmt,base_ef,total_cost,n_years,max_annual_policies,min_annual_policies,min_total_policies,max_total_policies,max_annual_policy_scale,max_total_cost,max_annual_cost,min_annual_cost,min_total_cost,min_emissions_chg,min_annual_emissions_chg,effect_emissions,effect_vmt,effect_ef
36077,10,10,100,10,10,10,10,10,10,10,2034,30000,51300000,57000000,0.07381507381507381,57763.24473870781,64181.383043008675,0.6256824642428388,0.34974876902895635,0.1,228278.7969569913,success,292460.18,693833563.56,4.2151345129430194e-4,10,10,10,0,1,100,100,300000000,30000000,0,0,0,0,NA,NA,NA
36077,10,10,100,10,10,10,10,10,10,10,2035,30000,57000000,62700000,0.0811965811965812,64181.383043008675,70599.52134730954,0.5882507106671226,0.33472364593185194,0.1,219895.27865269047,success,290494.8,697480893,4.164914091775701e-4,10,11,10,0,1,110,100,330000000,30000000,0,0,0,0,NA,NA,NA
36077,10,10,100,10,10,10,10,10,10,10,2036,30000,62700000,68400000,0.08857808857808858,70599.52134730954,77017.6596516104,0.5508189570914066,0.3196985228347476,0.1,213737.20034838957,success,290754.86,702413521.44,4.139368778151236e-4,10,12,10,0,1,120,100,360000000,30000000,0,0,0,0,NA,NA,NA
36077,10,10,100,10,10,10,10,10,10,10,2037,30000,68400000,74100000,0.09595959595959595,77017.6596516104,83435.79795591127,0.5133872035156904,0.30467339973764324,0.1,207579.12204408873,success,291014.92,707346149.88,4.11417974140907e-4,10,13,10,0,1,130,100,390000000,30000000,0,0,0,0,NA,NA,NA
36077,10,10,100,10,10,10,10,10,10,10,2038,30000,74100000,79800000,0.10334110334110334,83435.79795591127,89853.93626021214,0.4759554499399743,0.2896482766405388,0.1,201421.04373978783,success,291274.98,712278778.32,4.0893395797500666e-4,10,14,10,0,1,140,100,420000000,30000000,0,0,0,0,NA,NA,NA
36077,10,10,100,10,10,10,10,10,10,10,2039,30000,79800000,85500000,0.11072261072261072,89853.93626021214,96272.07456451301,0.43852369636425825,0.2746231535434345,0.1,195262.96543548699,success,291535.04,717211406.76,4.064841094998872e-4,10,15,10,0,1,150,100,450000000,30000000,0,0,0,0,NA,NA,NA
36077,10,10,100,10,10,10,10,10,10,10,2040,30000,85500000,91200000,0.11810411810411811,96272.07456451301,102690.21286881388,0.4010919427885421,0.2595980304463301,0.1,189104.8871311861,success,291795.1,722144035.2,4.04067728564962e-4,10,16,10,0,1,160,100,480000000,30000000,0,0,0,0,NA,NA,NA
36077,10,10,100,10,10,10,10,10,10,10,2041,30000,91200000,96900000,0.12548562548562547,102690.21286881388,109108.35117311474,0.36366018921282595,0.24457290734922577,0.1,184017.96882688528,success,293126.32,727487021.46,4.029299648696443e-4,10,17,10,0,1,170,100,510000000,30000000,0,0,0,0,NA,NA,NA
36077,10,10,100,10,10,10,10,10,10,10,2042,30000,96900000,102600000,0.13286713286713286,109108.35117311474,115526.48947741561,0.3262284356371098,0.22954778425212136,0.1,178931.05052258435,success,294457.54,732830007.72,4.018087918044241e-4,10,18,10,0,1,180,100,540000000,30000000,0,0,0,0,NA,NA,NA
36077,10,10,100,10,10,10,10,10,10,10,2043,30000,102600000,108300000,0.14024864024864026,115526.48947741561,121944.62778171648,0.28879668206139375,0.21452266115501697,0.1,173844.13221828354,success,295788.76,738172993.98,4.007038491142824e-4,10,19,10,0,1,190,100,570000000,30000000,0,0,0,0,NA,NA,NA
