id,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,year,units,prior_cost,cost,icost,z,diversification,status,prior_reduction98,reduction98,ireduction98,geoid,base_vmt,base_emissions98,base_ef98,total_cost,n_years,max_annual_policies,min_annual_policies,min_total_policies,max_total_policies,max_annual_policy_scale,max_total_cost,max_annual_cost,min_annual_cost,min_total_cost,min_emissions_chg98,min_annual_emissions_chg98,emissions98,effect_emissions98,effect_ef98,effect_vmt,max_abs_diff
4,10,10,100,10,10,10,10,10,10,10,2026,30000,6283126.740899998,12773596.664249696,0.009613106750693476,0.5894720348081625,0.1,success,6418.138304300866,12836.276608601733,0.9354647702925052,36109,792534838.66,358029.76,4.517527085690626e-4,11.386789339209997,2,10,0,1,20,100,68320736.03525998,34160368.01762999,10000,0,0,0,345193.4833913983,6418.138304300866,-3.5579872381674704e-7,21719123.196601868,0.1
4,10,10,100,10,10,10,10,10,10,10,2027,30000,12773596.664249696,19478252.095069934,0.014658871861116864,0.571827658079782,0.1,success,12836.276608601733,19254.414912902597,0.9031971554387577,36109,798003426.92,354032.52,4.4364786924090726e-4,11.762553387403925,3,10,0,1,30,100,105862980.48663533,35287660.162211776,10000,0,0,0,334778.10508709744,6418.138304300866,-3.6188031737882653e-7,21573393.23759079,0.1
4,10,10,100,10,10,10,10,10,10,10,2028,30000,19478252.095069934,26404161.15510724,0.019871147220184227,0.5542665364757235,0.1,success,19254.414912902597,25672.553217203465,0.8709295405850103,36109,803472015.1800001,350035.27999999997,4.356533561677096e-4,12.150717649188254,4,10,0,1,40,100,145808611.79025903,36452152.94756476,10000,0,0,0,324362.7267827965,6418.138304300866,-3.6813885273545566e-7,21427002.489566803,0.1
4,10,10,100,10,10,10,10,10,10,10,2029,30000,26404161.15510724,33558625.214125775,0.025255427666100807,0.5367914174150897,0.1,success,25672.553217203465,32090.691521504334,0.8386619257312629,36109,808940603.44,346038.04,4.2776693187173657e-4,12.551691331611465,5,10,0,1,50,100,188275369.97417197,37655073.99483439,10000,0,0,0,313947.34847849567,6418.138304300866,-3.7457901364001955e-7,21279961.75289154,0.1
4,10,10,100,10,10,10,10,10,10,10,2030,30000,33558625.214125775,40949186.58709192,0.030817389366732638,0.5194051389818134,0.1,success,32090.691521504334,38508.8298258052,0.8063943108775153,36109,814409191.7,342040.8,4.199864189720441e-4,12.965897145554644,6,10,0,1,60,100,233386148.61998358,38897691.43666393,10000,0,0,0,303531.9701741948,6418.138304300866,-3.8120548384590336e-7,21132222.604751587,0.1
4,10,10,100,10,10,10,10,10,10,10,2031,30000,40949186.58709192,48583636.48536596,0.036562895803485325,0.5021106329165976,0.1,success,38508.8298258052,44926.96813010607,0.7741266960237679,36109,818788307.48,339875.42,4.15095595400038e-4,13.393771751357946,7,10,0,1,70,100,281269206.7785169,40181315.254073836,10000,0,0,0,294948.45186989394,6418.138304300866,-3.8487858733393665e-7,21051901.78155899,0.1
4,10,10,100,10,10,10,10,10,10,10,2032,30000,48583636.48536596,56470023.23028303,0.04249800395265084,0.48491092770758826,0.1,success,44926.96813010607,51345.10643440694,0.7418590811700205,36109,823167423.26,337710.04,4.102568085876902e-4,13.835766219152756,8,10,0,1,80,100,332058389.25966614,41507298.65745827,10000,0,0,0,286364.93356559303,6418.138304300866,-3.8860997753076276e-7,20971372.711658478,0.1
4,10,10,100,10,10,10,10,10,10,10,2033,30000,56470023.23028303,64616660.73778237,0.04862897067073882,0.4678091517830401,0.1,success,51345.10643440694,57763.24473870781,0.709591466316273,36109,827546539.0400001,335544.66000000003,4.054692324485466e-4,14.292346504384795,9,10,0,1,90,100,385893355.6183895,42877039.51315439,10000,0,0,0,277781.41526129225,6418.138304300866,-3.9240277693863845e-7,20890645.051002502,0.1
4,10,10,100,10,10,10,10,10,10,10,2034,30000,64616660.73778237,73032137.28302917,0.054962259290523695,0.45080853680934035,0.1,success,57763.24473870781,64181.383043008675,0.6773238514625257,36109,831925654.82,333379.28,4.0073205828966986e-4,14.763993939029493,10,10,0,1,100,100,442919818.1708848,44291981.81708848,10000,0,0,0,269197.89695699135,6418.138304300866,-3.9625646514052093e-7,20809696.805477142,0.1
4,10,10,100,10,10,10,10,10,10,10,2035,30000,73032137.28302917,81725324.55426912,0.06150454643476148,0.43391242109786715,0.1,success,64181.383043008675,70599.52134730954,0.6450562366087782,36109,836304770.6,331213.9,3.9604449435625403e-4,15.251205739017465,11,10,0,1,110,100,503289789.38757634,45753617.21705239,10000,0,0,0,260614.3786526905,6418.138304300866,-4.0017520547275254e-7,20728553.760051727,0.1
